device_code,Auto filled link for health check ,timezone,MP type
300268-107,"""https://us.dunkindonuts.switchboardcms.com/device/300268-107/screenshot/"",",America/New_York,ODMB
300268-108,"""https://us.dunkindonuts.switchboardcms.com/device/300268-108/screenshot/"",",America/New_York,ODMB
300270-107,"""https://us.dunkindonuts.switchboardcms.com/device/300270-107/screenshot/"",",America/New_York,ODMB
300270-108,"""https://us.dunkindonuts.switchboardcms.com/device/300270-108/screenshot/"",",America/New_York,ODMB
300270-117,"""https://us.dunkindonuts.switchboardcms.com/device/300270-117/screenshot/"",",America/New_York,Presell
300270-31,"""https://us.dunkindonuts.switchboardcms.com/device/300270-31/screenshot/"",",America/New_York,DD FC
300270-32,"""https://us.dunkindonuts.switchboardcms.com/device/300270-32/screenshot/"",",America/New_York,DD FC
300270-33,"""https://us.dunkindonuts.switchboardcms.com/device/300270-33/screenshot/"",",America/New_York,DD FC
300270-34,"""https://us.dunkindonuts.switchboardcms.com/device/300270-34/screenshot/"",",America/New_York,DD FC
300277-31,"""https://us.dunkindonuts.switchboardcms.com/device/300277-31/screenshot/"",",America/New_York,DD FC
300277-32,"""https://us.dunkindonuts.switchboardcms.com/device/300277-32/screenshot/"",",America/New_York,DD FC
300277-33,"""https://us.dunkindonuts.switchboardcms.com/device/300277-33/screenshot/"",",America/New_York,DD FC
300277-34,"""https://us.dunkindonuts.switchboardcms.com/device/300277-34/screenshot/"",",America/New_York,DD FC
300286-107,"""https://us.dunkindonuts.switchboardcms.com/device/300286-107/screenshot/"",",America/New_York,ODMB
300286-108,"""https://us.dunkindonuts.switchboardcms.com/device/300286-108/screenshot/"",",America/New_York,ODMB
300286-31,"""https://us.dunkindonuts.switchboardcms.com/device/300286-31/screenshot/"",",America/New_York,DD FC
300286-32,"""https://us.dunkindonuts.switchboardcms.com/device/300286-32/screenshot/"",",America/New_York,DD FC
300286-33,"""https://us.dunkindonuts.switchboardcms.com/device/300286-33/screenshot/"",",America/New_York,DD FC
300286-34,"""https://us.dunkindonuts.switchboardcms.com/device/300286-34/screenshot/"",",America/New_York,DD FC
300289-107,"""https://us.dunkindonuts.switchboardcms.com/device/300289-107/screenshot/"",",America/New_York,ODMB
300289-108,"""https://us.dunkindonuts.switchboardcms.com/device/300289-108/screenshot/"",",America/New_York,ODMB
300292-107,"""https://us.dunkindonuts.switchboardcms.com/device/300292-107/screenshot/"",",America/New_York,ODMB
300292-108,"""https://us.dunkindonuts.switchboardcms.com/device/300292-108/screenshot/"",",America/New_York,ODMB
300297-107,"""https://us.dunkindonuts.switchboardcms.com/device/300297-107/screenshot/"",",America/New_York,ODMB
300297-108,"""https://us.dunkindonuts.switchboardcms.com/device/300297-108/screenshot/"",",America/New_York,ODMB
300297-31,"""https://us.dunkindonuts.switchboardcms.com/device/300297-31/screenshot/"",",America/New_York,DD FC
300297-32,"""https://us.dunkindonuts.switchboardcms.com/device/300297-32/screenshot/"",",America/New_York,DD FC
300297-33,"""https://us.dunkindonuts.switchboardcms.com/device/300297-33/screenshot/"",",America/New_York,DD FC
300297-34,"""https://us.dunkindonuts.switchboardcms.com/device/300297-34/screenshot/"",",America/New_York,DD FC
300301-31,"""https://us.dunkindonuts.switchboardcms.com/device/300301-31/screenshot/"",",America/New_York,DD FC
300301-32,"""https://us.dunkindonuts.switchboardcms.com/device/300301-32/screenshot/"",",America/New_York,DD FC
300301-33,"""https://us.dunkindonuts.switchboardcms.com/device/300301-33/screenshot/"",",America/New_York,DD FC
300301-34,"""https://us.dunkindonuts.switchboardcms.com/device/300301-34/screenshot/"",",America/New_York,DD FC
300303-107,"""https://us.dunkindonuts.switchboardcms.com/device/300303-107/screenshot/"",",America/New_York,ODMB
300303-108,"""https://us.dunkindonuts.switchboardcms.com/device/300303-108/screenshot/"",",America/New_York,ODMB
300305-31,"""https://us.dunkindonuts.switchboardcms.com/device/300305-31/screenshot/"",",America/New_York,DD FC
300305-32,"""https://us.dunkindonuts.switchboardcms.com/device/300305-32/screenshot/"",",America/New_York,DD FC
300305-33,"""https://us.dunkindonuts.switchboardcms.com/device/300305-33/screenshot/"",",America/New_York,DD FC
300305-34,"""https://us.dunkindonuts.switchboardcms.com/device/300305-34/screenshot/"",",America/New_York,DD FC
300309-31,"""https://us.dunkindonuts.switchboardcms.com/device/300309-31/screenshot/"",",America/New_York,DD FC
300309-32,"""https://us.dunkindonuts.switchboardcms.com/device/300309-32/screenshot/"",",America/New_York,DD FC
300309-33,"""https://us.dunkindonuts.switchboardcms.com/device/300309-33/screenshot/"",",America/New_York,DD FC
300309-34,"""https://us.dunkindonuts.switchboardcms.com/device/300309-34/screenshot/"",",America/New_York,DD FC
300314-107,"""https://us.dunkindonuts.switchboardcms.com/device/300314-107/screenshot/"",",America/New_York,ODMB
300314-108,"""https://us.dunkindonuts.switchboardcms.com/device/300314-108/screenshot/"",",America/New_York,ODMB
300314-31,"""https://us.dunkindonuts.switchboardcms.com/device/300314-31/screenshot/"",",America/New_York,DD FC
300314-32,"""https://us.dunkindonuts.switchboardcms.com/device/300314-32/screenshot/"",",America/New_York,DD FC
300314-33,"""https://us.dunkindonuts.switchboardcms.com/device/300314-33/screenshot/"",",America/New_York,DD FC
300314-34,"""https://us.dunkindonuts.switchboardcms.com/device/300314-34/screenshot/"",",America/New_York,DD FC
300316-107,"""https://us.dunkindonuts.switchboardcms.com/device/300316-107/screenshot/"",",America/New_York,ODMB
300316-108,"""https://us.dunkindonuts.switchboardcms.com/device/300316-108/screenshot/"",",America/New_York,ODMB
300316-31,"""https://us.dunkindonuts.switchboardcms.com/device/300316-31/screenshot/"",",America/New_York,DD FC
300316-32,"""https://us.dunkindonuts.switchboardcms.com/device/300316-32/screenshot/"",",America/New_York,DD FC
300316-33,"""https://us.dunkindonuts.switchboardcms.com/device/300316-33/screenshot/"",",America/New_York,DD FC
300316-34,"""https://us.dunkindonuts.switchboardcms.com/device/300316-34/screenshot/"",",America/New_York,DD FC
300339-107,"""https://us.dunkindonuts.switchboardcms.com/device/300339-107/screenshot/"",",America/New_York,ODMB
300339-108,"""https://us.dunkindonuts.switchboardcms.com/device/300339-108/screenshot/"",",America/New_York,ODMB
300341-107,"""https://us.dunkindonuts.switchboardcms.com/device/300341-107/screenshot/"",",America/New_York,ODMB
300341-108,"""https://us.dunkindonuts.switchboardcms.com/device/300341-108/screenshot/"",",America/New_York,ODMB
